global_id,node_name,node_type,device_label
7,FIT101,device,0
8,LIT101,device,0
9,MV101,device,0
10,P101,device,0
11,P102,device,0
12,AIT201,device,0
13,AIT202,device,0
14,AIT203,device,0
15,FIT201,device,0
16,MV201,device,0
17,P201,device,0
18,P202,device,0
19,P203,device,0
20,P204,device,0
21,P205,device,0
22,P206,device,0
23,DPIT301,device,0
24,FIT301,device,0
25,LIT301,device,0
26,MV301,device,0
27,MV302,device,0
28,MV303,device,0
29,MV304,device,0
30,P301,device,0
31,P302,device,0
32,AIT401,device,0
33,AIT402,device,0
34,FIT401,device,0
35,LIT401,device,0
36,P401,device,0
37,P402,device,0
38,P403,device,0
39,P404,device,0
40,UV401,device,0
41,AIT501,device,0
42,AIT502,device,0
43,AIT503,device,0
44,AIT504,device,0
45,FIT501,device,0
46,FIT502,device,0
47,FIT503,device,0
48,FIT504,device,0
49,P501,device,0
50,P502,device,0
51,PIT501,device,0
52,PIT502,device,0
53,PIT503,device,0
54,FIT601,device,0
55,P601,device,0
56,P602,device,0
57,P603,device,0
