global_id,node_name,node_type,plc_name,plc_index
0,CRP0,crp,,0
1,PLC1,plc,PLC1,1
2,PLC2,plc,PLC2,2
3,PLC3,plc,PLC3,3
4,PLC4,plc,PLC4,4
5,PLC5,plc,PLC5,5
6,PLC6,plc,PLC6,6
7,FIT101,device,PLC1,1
8,LIT101,device,PLC1,1
9,MV101,device,PLC1,1
10,P101,device,PLC1,1
11,P102,device,PLC1,1
12,AIT201,device,PLC2,2
13,AIT202,device,PLC2,2
14,AIT203,device,PLC2,2
15,FIT201,device,PLC2,2
16,MV201,device,PLC2,2
17,P201,device,PLC2,2
18,P202,device,PLC2,2
19,P203,device,PLC2,2
20,P204,device,PLC2,2
21,P205,device,PLC2,2
22,P206,device,PLC2,2
23,DPIT301,device,PLC3,3
24,FIT301,device,PLC3,3
25,LIT301,device,PLC3,3
26,MV301,device,PLC3,3
27,MV302,device,PLC3,3
28,MV303,device,PLC3,3
29,MV304,device,PLC3,3
30,P301,device,PLC3,3
31,P302,device,PLC3,3
32,AIT401,device,PLC4,4
33,AIT402,device,PLC4,4
34,FIT401,device,PLC4,4
35,LIT401,device,PLC4,4
36,P401,device,PLC4,4
37,P402,device,PLC4,4
38,P403,device,PLC4,4
39,P404,device,PLC4,4
40,UV401,device,PLC4,4
41,AIT501,device,PLC5,5
42,AIT502,device,PLC5,5
43,AIT503,device,PLC5,5
44,AIT504,device,PLC5,5
45,FIT501,device,PLC5,5
46,FIT502,device,PLC5,5
47,FIT503,device,PLC5,5
48,FIT504,device,PLC5,5
49,P501,device,PLC5,5
50,P502,device,PLC5,5
51,PIT501,device,PLC5,5
52,PIT502,device,PLC5,5
53,PIT503,device,PLC5,5
54,FIT601,device,PLC6,6
55,P601,device,PLC6,6
56,P602,device,PLC6,6
57,P603,device,PLC6,6
